gs_name,gene_symbol,layer
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ADIPOQ,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ADIPOR1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,AHSG,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,AKT1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,AKT2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ALAS1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,AP3S1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,APC,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,APPL1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,APPL2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ATP2B1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,BAIAP2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,BCAR1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,BCAR3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,BGLAP,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,BLVRB,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,C1QTNF12,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,C2CD5,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CAPN10,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CAV2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CEACAM1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CFLAR,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,COL6A1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CPEB1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CPEB2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CSRP3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CTSD,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CUL3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,CUL7,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,DENND4C,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,DNAI1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ECHDC3,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,EEF2K,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,EIF4EBP2,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,ENPP1,canonical
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,EPRS1,canonical
